"ID","Age","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeCount","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","Over18","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Attrition"
"1171",35,"Travel_Rarely",750,"Research & Development",28,"Three","Life Sciences","1","1596","Medium","Male",46,"Very High","Two","Laboratory Technician","High","Married",3407,25348,1,"Y","No",17,"Excellent","Very High","80","Two",10,3,"Better",10,9,6,8,"No"
"1172",33,"Travel_Rarely",147,"Human Resources",2,"Three","Human Resources","1","1207","Medium","Male",99,"High","One","Human Resources","High","Married",3600,8429,1,"Y","No",13,"Excellent","Very High","80","One",5,2,"Good",5,4,1,4,"No"
"1173",26,"Travel_Rarely",1330,"Research & Development",21,"Three","Medical","1","1107","Low","Male",37,"High","One","Laboratory Technician","High","Divorced",2377,19373,1,"Y","No",20,"Outstanding","High","80","One",1,0,"Better",1,1,0,0,"Yes"
"1174",55,"Travel_Rarely",1311,"Research & Development",2,"Three","Life Sciences","1","505","High","Female",97,"High","Four","Manager","Very High","Single",16659,23258,2,"Y","Yes",13,"Excellent","High","80","Zero",30,2,"Good",5,4,1,2,"No"
"1175",29,"Travel_Rarely",1246,"Sales",19,"Three","Life Sciences","1","1497","High","Male",77,"Medium","Two","Sales Executive","High","Divorced",8620,23757,1,"Y","No",14,"Excellent","High","80","Two",10,3,"Good",10,7,0,4,"No"
"1176",51,"Travel_Frequently",1456,"Research & Development",1,"Four","Medical","1","145","Low","Female",30,"Medium","Three","Healthcare Representative","Low","Single",7484,25796,3,"Y","No",20,"Outstanding","High","80","Zero",23,1,"Better",13,12,12,8,"No"
"1177",52,"Non-Travel",585,"Sales",29,"Four","Life Sciences","1","2019","Low","Male",40,"High","One","Sales Representative","Very High","Divorced",3482,19788,2,"Y","No",15,"Excellent","Medium","80","Two",16,3,"Better",9,8,0,0,"No"
"1178",39,"Travel_Rarely",1387,"Research & Development",10,"Five","Medical","1","1618","Medium","Male",76,"High","Two","Manufacturing Director","Low","Married",5377,3835,2,"Y","No",13,"Excellent","Very High","80","Three",10,3,"Good",7,7,7,7,"No"
"1179",31,"Travel_Rarely",1062,"Research & Development",24,"Three","Medical","1","1252","High","Female",96,"Medium","Two","Healthcare Representative","Low","Single",6812,17198,1,"Y","No",19,"Excellent","Medium","80","Zero",10,2,"Good",10,9,1,8,"No"
"1180",31,"Travel_Frequently",534,"Research & Development",20,"Three","Life Sciences","1","587","Low","Male",66,"High","Three","Healthcare Representative","High","Married",9824,22908,3,"Y","No",12,"Excellent","Low","80","Zero",12,2,"Good",1,0,0,0,"Yes"
"1181",40,"Travel_Frequently",1469,"Research & Development",9,"Four","Medical","1","964","Very High","Male",35,"High","One","Research Scientist","Medium","Divorced",3617,25063,8,"Y","Yes",14,"Excellent","Very High","80","One",3,2,"Good",1,1,0,0,"Yes"
"1182",31,"Travel_Rarely",1082,"Research & Development",1,"Four","Medical","1","95","High","Male",87,"High","One","Research Scientist","Medium","Single",2501,18775,1,"Y","No",17,"Excellent","Medium","80","Zero",1,4,"Good",1,1,1,0,"No"
"1183",33,"Non-Travel",775,"Research & Development",4,"Three","Technical Degree","1","1771","Very High","Male",90,"High","Two","Research Scientist","Medium","Divorced",3055,6194,5,"Y","No",15,"Excellent","Very High","80","Two",11,2,"Better",9,8,1,7,"No"
